id,name,category,subtype,latitude,longitude,description,official_url,significant_date,date_type,year,image_url,image_credit,image_license,source,source_id,source_url,data_license,last_fetched,county,city,address,region,water_body,tags
historical_marker:mi-dnr-markers:mhc631980035,Historic Green,historical_marker,,42.57765500000005,-83.14977799999997,"Historic Green
The city of Troy has set aside this area for historic structures. Located here is the 1832 Greek Revival home of pioneer Solomon Caswell, moved from its original site. Nearby is Troy’s 1927 township hall. This building is a replica of a Dutch Colonial inn near Troy, New York, and was the town hall until 1966. At the rear of this brick structure, now the Troy Historical Museum, are other restored buildings from past eras. The Historic Green is a symbol of continuity for a community first settled in 1821.",,1980,erected,1980,,,,MI-DNR-Markers,MHC631980035,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/query?where=OBJECTID=10,Michigan open data (Michigan DNR; attribution requested),2026-06-14T16:49:07.111764+00:00,Oakland,Troy,60 Wattles Road,Southeast,,
historical_marker:mi-dnr-markers:mhc742004015,Diamond Crystal Salt Company,historical_marker,4,42.818407969273224,-82.48698405174355,"Diamond Crystal Salt Company
Salt exploration and extraction began in St. Clair County as early as 1863.  Several people tried unsuccessfully to make drilling cost-effective.  Charles F. and Franklin Moore, Justin Whiting, and Mark Hopkins founded the St. Clair Rock Salt Company in 1886, and eventually turned a profit.  When a unique production method (the Alberger process) resulted in exceptionally high purity levels, they changed the name to Diamond Crystal Salt Company.  The company prospered under Charles Moore’s leadership.  General Foods Corporation bought Diamond Crystal in 1929; however, the Moore family bought it back in 1953.  Diamond remained independent until 1987 when Akzo Nobel purchased it.  Ten years later Cargill acquired the company.",,2004,erected,2004,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/11/attachments/2203,Michigan History Center,Michigan DNR Open Data,MI-DNR-Markers,MHC742004015,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/query?where=OBJECTID=11,Michigan open data (Michigan DNR; attribution requested),2026-06-14T16:49:07.111764+00:00,St. Clair,St. Clair,1004 S. Riverside Ave,East/Thumb,,
nrhp_site:nrhp:79003173,Botsford Inn,nrhp_site,building,42.444076235000125,-83.32302740499996,"Botsford Inn
This historic structure was built as a home in 1836 by Orrin Weston and converted into a tavern by Stephen Jennings in 1841. Milton Botsford bought what was by then called the Sixteen Mile House in 1860. It was a stagecoach stop popular with drovers, farmers and travelers on the Grand River plank road. Henry Ford, who in the 1880s attended dances at the inn with his future wife, Clara, bought it in 1924. He renovated the inn to reflect the Victorian era. He first used it as a private retreat. Later he opened it to the public. The Anhut family bought the property in 1951, operating it as one of the state’s oldest inns until 1999. That year Botsford Hospital bought the property. The hospital rehabilitated the building in 2008. The exterior reflects its Ford-era appearance.",https://catalog.archives.gov/id/25340252,2012,listed,2012,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/13/attachments/2387,Michigan History Center,Michigan DNR Open Data,NRHP,79003173,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/nrhp_points_v1/FeatureServer/0/query?where=NRIS_Refnum='79003173',"Public domain (U.S. Government work, NPS)",2026-06-14T16:49:07.116232+00:00,Oakland,Farmington,28000 Grand River Ave.,Southeast,,also_historical_marker
nrhp_site:nrhp:84001400,"Learned, Charles G., House",nrhp_site,building,44.04233834000013,-82.99370720499996,"Charles G. Learned
<div>A native of New York, contractor Charles G. Learned helped build New York City’s waterworks system and the Erie Canal. Around 1857, Learned and his brother-in-law purchased several thousand acres of pine land in Michigan’s Thumb area. Two years later, Learned and his wife, Maria Raymond, came to Port Austin and bought a house and three acres at this site. Learned’s cutover pine land became a 2,000-acre farm where he prospered as an agriculturalist and dairy farmer. With profits from his lumbering and farming enterprises Learned enlarged and updated this house in the French Second Empire style. In the 1860s Ohio congressman, later president, James A. Garfield, a family friend, was a frequent guest here. From 1931 to 1979 the house served as the Mayes Inn and Tower Hotel. It was listed on the National Register of Historic Places in 1984.</div>",https://catalog.archives.gov/id/25339451,2012,listed,2012,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/14/attachments/19,Michigan History Center,Michigan DNR Open Data,NRHP,84001400,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/nrhp_points_v1/FeatureServer/0/query?where=NRIS_Refnum='84001400',"Public domain (U.S. Government work, NPS)",2026-06-14T16:49:07.116232+00:00,Huron,Port Austin,8544 Lake St.,East/Thumb,,also_historical_marker
historical_marker:mi-dnr-markers:mhc132008001,Independent Congregational Church,historical_marker,,42.32189597000007,-85.17764299999999,"Independent Congregational Church
Congregationalists joined Presbyterians in organizing a church in 1836.  When a split occurred in 1883, they formed the Independent Congregational Church.  Chicago architect Joseph C. Llewellyn designed this Neo-classical church, built in 1907, to accommodate 800 people.  Weekly radio broadcasts of Sunday services, begun by Reverend Doctor Carleton Brooks Miller in 1930, continued into the twenty-first century.",,2008,erected,2008,,,,MI-DNR-Markers,MHC132008001,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/query?where=OBJECTID=15,Michigan open data (Michigan DNR; attribution requested),2026-06-14T16:49:07.111764+00:00,Calhoun,Battle Creek,145 N. E. Capital Ave,Southwest,,
historical_marker:mi-dnr-markers:mhc121975015,Governor Cyrus Gray Luce,historical_marker,,41.93820000000005,-85.00087699999995,"Governor Cyrus Gray Luce
On this site lived Cyrus Gray Luce, twenty-seventh governor of Michigan. Born in Ohio in 1824, Luce moved to Branch County in 1849. He soon became involved in township, local, and state politics, serving on the Board of Agriculture, in the legislature, and as a member of the 1857 constitutional convention. In 1886 and 1888 he was elected governor on the Republican ticket. He remained active in the farmers' Grange until his death in Coldwater in 1905.",,1975,erected,1975,,,,MI-DNR-Markers,MHC121975015,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/query?where=OBJECTID=16,Michigan open data (Michigan DNR; attribution requested),2026-06-14T16:49:07.111764+00:00,Branch,Coldwater,Intersection of Division & E. Washington Sts.,Southwest,,Governors
historical_marker:mi-dnr-markers:mhc351980033,The Louis Chevalier Claim,historical_marker,,44.41287500000004,-83.33047199999999,"The Louis Chevalier Claim
In 1823 Louis Chevalier, a French-Canadian trader, was granted five hundred arpents (640 acres) of land by the United States government. This land, located on the AuSable River, extends northwesterly in a long, narrow, French ribbon-farm manner. It still appears on maps of AuSable Township. From around 1820 to the mid-1830s, Chevalier bartered trade goods for furs, fish and game brought in by Chippewa and white trappers, hunters and fishermen in this locality. He conducted his trade near this site from a hand-hewn log blockhouse. Although he left the area in 1833, ruins of the structure were still visible in 1867. Chevalier’s trading post is regarded by many as the first business of consequence in Iosco County.",,1980,erected,1980,,,,MI-DNR-Markers,MHC351980033,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/query?where=OBJECTID=17,Michigan open data (Michigan DNR; attribution requested),2026-06-14T16:49:07.111764+00:00,Iosco,Oscoda,205 Harbor St,Northeast,,
historical_marker:mi-dnr-markers:mhc491973030,Island House,historical_marker,,45.85072100000008,-84.61411299999997,"Island House
Constructed for Charles O’Malley about 1852, this building was one of the first summer hotels on Mackinac Island. Captain Henry Van Allen, a Great Lakes skipper, purchased the hotel in 1865. He later moved it from the beach to its present location. By the 1880s the Island House was known as “The best family hotel on the island.” Following the death of her parents, Mrs. Rose Van Allen Webster became proprietor about 1892. She was the wife of Colonel John Webster, whom she had met during the 1870s when he was stationed at Fort Mackinac. Mrs. Webster added the large wings in 1895 and 1912, retaining ownership until her death in 1938. The Island House still serves as a resort hotel.",,1973,erected,1973,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/18/attachments/23,Michigan History Center,Michigan DNR Open Data,MI-DNR-Markers,MHC491973030,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/query?where=OBJECTID=18,Michigan open data (Michigan DNR; attribution requested),2026-06-14T16:49:07.111764+00:00,Mackinac,Mackinac Island,Huron Street,Eastern UP,,
historical_marker:mi-dnr-markers:mhc311986037,Italian Hall Tragedy / The Italian Hall,historical_marker,5,47.24847300000005,-88.45555299999995,"Italian Hall Tragedy
By December 1913, thousands of area copper miners had been on strike for five months. They were fighting for union recognition, safer working conditions, shorter workdays and better pay. On Christmas Eve hundreds gathered on the second floor of the Italian Hall to attend a holiday party for strikers’ families. As the children filed to the stage to receive presents, someone yelled “Fire!” People panicked and rushed toward the exit. There was no fire. Many were trampled on the stairs. Officially, seventy-three people died; more than half were children under ten. Despite a Congressional hearing and a coroner’s inquest, the person who yelled fire was never identified.

The Italian Hall
The building that stood on this site was called the Italian Hall, and was home to the Societa Mutua Beneficenza Italiana, which aided immigrants and others in need. Built in 1908, the hall housed a saloon and an Atlantic and Pacific Tea Company store on the first floor. A main hall with a dining room, a barroom, and a stage were on the second floor. The hall was the site of one of Michigan’s worst tragedies. On Christmas Eve 1913, seventy–three people died due to a false alarm of “Fire!” When the building was razed in 1984, the archway from its main entrance was saved. In 1989 the Village of Calumet, with the help of Operating Engineers Local 324 and the Friends of Italian Hall, created this park dedicated to those who died in 1913.",,2012,erected,2012,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/19/attachments/24,Michigan History Center,Michigan DNR Open Data,MI-DNR-Markers,MHC311986037,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/query?where=OBJECTID=19,Michigan open data (Michigan DNR; attribution requested),2026-06-14T16:49:07.111764+00:00,Houghton,Calumet,Seventh Street,Western UP,,Mining Industry
historical_marker:mi-dnr-markers:mhc121997011,Methodist Episcopal Church,historical_marker,1,42.02805100000006,-85.00109499999996,"Methodist Episcopal Church
Methodists held the first religious services in Girard Township. Organized in 1832 by the Reverend Ezekiel Gavit, a circuit rider, the congregation met in homes and a school until a church was built in 1844. When that structure burned in 1887 it was replaced with the present one, constructed byJ. R. Simmons of Union City, who used native hard maple and stones gathered from nearby fields. The building was dedicated on August 31, 1888.",,1998,erected,1998,,,,MI-DNR-Markers,MHC121997011,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/query?where=OBJECTID=20,Michigan open data (Michigan DNR; attribution requested),2026-06-14T16:49:07.111764+00:00,Branch,Coldwater,126 Marshall Rd,Southwest,,
historical_marker:mi-dnr-markers:mhc152013010,Holy Cross Catholic Church,historical_marker,,45.74519300000003,-85.52223800099995,"Holy Cross Catholic Church
Father Frederic Baraga (1797-1868) first landed on Beaver Island as a missionary in 1832. This church was built in 1860 and consecrated by Baraga, then Bishop of the Diocese of Sault Ste. Marie. This church originally stood inland alongside the parish cemetery one mile to the south. To better serve the island’s population center on Paradise Bay, Holy Cross Church was cut in half, moved and reassembled at this location in 1957.

Holy Cross Catholic Church
After the expulsion of the Mormons in 1856, many Irish families settled on the island. To serve this community, liturgies were given in the Gaelic language until the 1890s. The inability to attract teachers to the isolated Island’s public schools led the parish to invite Dominican Sisters based in Grand Rapids to help educate children on the Island in 1899. The last Dominican Sister to teach on the Island left in 1991.",,2014,erected,2014,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/21/attachments/27,Michigan History Center,Michigan DNR Open Data,MI-DNR-Markers,MHC152013010,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/query?where=OBJECTID=21,Michigan open data (Michigan DNR; attribution requested),2026-06-14T16:49:07.111764+00:00,Charlevoix,"St. James, Beaver Island",37860 Kings Highway,Northwest,,
historical_marker:mi-dnr-markers:mhc171979017,Emerson,historical_marker,,46.553548000000035,-85.03400799999997,"Emerson
Once a thriving hub of pine lumbering, Emerson is now a fishing hamlet. Just one mile south of the mouth of the Tahquamenon River (immortalized in Longfellow’s poem “Hiawatha”), this settlement overlooks picturesque Whitefish Bay. The village was founded by Kurt Emerson, a lumberman from the Saginaw Bay area, in the 1880s. Emerson erected a sawmill and in 1884 sold his establishment to the Chesbrough Lumber Company. Milling and lumbering operations ceased in 1912, at which time commercial fishing became the economic bulwark of the community.",,1980,erected,1980,,,,MI-DNR-Markers,MHC171979017,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/query?where=OBJECTID=22,Michigan open data (Michigan DNR; attribution requested),2026-06-14T16:49:07.111764+00:00,Chippewa,Whitefish Township,M-123 south of Tahquamenon River,Eastern UP,,Lumbering Industry
nrhp_site:nrhp:99001731,"Van Wagoner, Murray D., Memorial Bridge",nrhp_site,structure,41.712367019000055,-84.21170168899992,"Taft Memorial Highway
In 1930 organizers from Michigan, Ohio, Kentucky, Tennessee, Georgia, and Florida formed the Taft Memorial Highway Association to promote automobile tourism.  Named after the nation’s twenty-seventh president, William Howard Taft, the highway stretched from Sault Ste. Marie, Michigan, to Fort Myers Beach, Florida.  Inspired by hundreds of similar associations across the country, founding members lobbied officials for modern roads and bridges along their selected route.  Morenci organizers participated actively in the association.  Although the association ceased operations during World War II, the state highway bridge over the Silver Creek remains as a legacy of local effort in a national movement.

Murray D. Van Wagoner Memorial Bridge
The Michigan State Highway Department built the steel-beamed Murray D. Van Wagoner Bridge over Silver Creek in 1935 at a cost of $35,700.  The federal relief project helped the community by providing work during the Great Depression.  The Morenci community, and boosters from the Taft Memorial Highway Association, held a dedication ceremony attended by 5,000 people.  Namesake Murray D. Van Wagoner, head of the State Highway Department and a future governor of Michigan, made the keynote speech.  Adjacent is the 1893 Sterling Road truss bridge, relocated in 2004 from nearby Hillsdale County by the Michigan Department of Transportation for use as a crossing on the pedestrian trail.",https://catalog.archives.gov/id/25338283,2012,listed,2012,,,,NRHP,99001731,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/nrhp_points_v1/FeatureServer/0/query?where=NRIS_Refnum='99001731',"Public domain (U.S. Government work, NPS)",2026-06-14T16:49:07.116232+00:00,Lenawee,Morenci,MI 156 over Silver Cr.,Southeast,,also_historical_marker
historical_marker:mi-dnr-markers:mhc741987021,First Baptist Church,historical_marker,3,42.823047592179044,-82.48893528261704,"First Baptist Church
The Reverend E. K. Grout, pastor of the Baptist church in China Township, also held services in St. Clair’s log courthouse. On November 5, 1848, Grout and seven other people organized a local congregation. Around 1852 the first meeting house was built here on land donated by the village board of supervisors. That church burned in 1870. The present Romanesque-inspired church was erected three years later. In 1974 citizens bought the church and gave it to the city of St. Clair for a community center.",,1991,erected,1991,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/24/attachments/2206,Michigan History Center,Michigan DNR Open Data,MI-DNR-Markers,MHC741987021,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/query?where=OBJECTID=24,Michigan open data (Michigan DNR; attribution requested),2026-06-14T16:49:07.111764+00:00,St. Clair,St. Clair,308 South Fourth Street,East/Thumb,,
