name,latitude,longitude,subtype,year,description,image_url,official_url,county,city
Historic Green,42.57765500000005,-83.14977799999997,,1980,"Historic Green
The city of Troy has set aside this area for historic structures. Located here is the 1832 Greek Revival home of pioneer Solomon Caswell, moved from its original site. Nearby is Troy’s 1927 township hall. This building is a replica of a Dutch Colonial inn near Troy, New York, and was the town hall until 1966. At the rear of this brick structure, now the Troy Historical Museum, are other restored buildings from past eras. The Historic Green is a symbol of continuity for a community first settled in 1821.",,,Oakland,Troy
Diamond Crystal Salt Company,42.818407969273224,-82.48698405174355,4,2004,"Diamond Crystal Salt Company
Salt exploration and extraction began in St. Clair County as early as 1863.  Several people tried unsuccessfully to make drilling cost-effective.  Charles F. and Franklin Moore, Justin Whiting, and Mark Hopkins founded the St. Clair Rock Salt Company in 1886, and eventually turned a profit.  When a unique production method (the Alberger process) resulted in exceptionally high purity levels, they changed the name to Diamond Crystal Salt Company.  The company prospered under Charles Moore’s leadership.  General Foods Corporation bought Diamond Crystal in 1929; howev…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/11/attachments/2203,,St. Clair,St. Clair
Independent Congregational Church,42.32189597000007,-85.17764299999999,,2008,"Independent Congregational Church
Congregationalists joined Presbyterians in organizing a church in 1836.  When a split occurred in 1883, they formed the Independent Congregational Church.  Chicago architect Joseph C. Llewellyn designed this Neo-classical church, built in 1907, to accommodate 800 people.  Weekly radio broadcasts of Sunday services, begun by Reverend Doctor Carleton Brooks Miller in 1930, continued into the twenty-first century.",,,Calhoun,Battle Creek
Governor Cyrus Gray Luce,41.93820000000005,-85.00087699999995,,1975,"Governor Cyrus Gray Luce
On this site lived Cyrus Gray Luce, twenty-seventh governor of Michigan. Born in Ohio in 1824, Luce moved to Branch County in 1849. He soon became involved in township, local, and state politics, serving on the Board of Agriculture, in the legislature, and as a member of the 1857 constitutional convention. In 1886 and 1888 he was elected governor on the Republican ticket. He remained active in the farmers' Grange until his death in Coldwater in 1905.",,,Branch,Coldwater
The Louis Chevalier Claim,44.41287500000004,-83.33047199999999,,1980,"The Louis Chevalier Claim
In 1823 Louis Chevalier, a French-Canadian trader, was granted five hundred arpents (640 acres) of land by the United States government. This land, located on the AuSable River, extends northwesterly in a long, narrow, French ribbon-farm manner. It still appears on maps of AuSable Township. From around 1820 to the mid-1830s, Chevalier bartered trade goods for furs, fish and game brought in by Chippewa and white trappers, hunters and fishermen in this locality. He conducted his trade near this site from a hand-hewn log blockhouse. Although he left the area in 1833, ru…",,,Iosco,Oscoda
Island House,45.85072100000008,-84.61411299999997,,1973,"Island House
Constructed for Charles O’Malley about 1852, this building was one of the first summer hotels on Mackinac Island. Captain Henry Van Allen, a Great Lakes skipper, purchased the hotel in 1865. He later moved it from the beach to its present location. By the 1880s the Island House was known as “The best family hotel on the island.” Following the death of her parents, Mrs. Rose Van Allen Webster became proprietor about 1892. She was the wife of Colonel John Webster, whom she had met during the 1870s when he was stationed at Fort Mackinac. Mrs. Webster added the large wings in 1895 an…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/18/attachments/23,,Mackinac,Mackinac Island
Italian Hall Tragedy / The Italian Hall,47.24847300000005,-88.45555299999995,5,2012,"Italian Hall Tragedy
By December 1913, thousands of area copper miners had been on strike for five months. They were fighting for union recognition, safer working conditions, shorter workdays and better pay. On Christmas Eve hundreds gathered on the second floor of the Italian Hall to attend a holiday party for strikers’ families. As the children filed to the stage to receive presents, someone yelled “Fire!” People panicked and rushed toward the exit. There was no fire. Many were trampled on the stairs. Officially, seventy-three people died; more than half were children under ten. Despite a C…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/19/attachments/24,,Houghton,Calumet
Methodist Episcopal Church,42.02805100000006,-85.00109499999996,1,1998,"Methodist Episcopal Church
Methodists held the first religious services in Girard Township. Organized in 1832 by the Reverend Ezekiel Gavit, a circuit rider, the congregation met in homes and a school until a church was built in 1844. When that structure burned in 1887 it was replaced with the present one, constructed byJ. R. Simmons of Union City, who used native hard maple and stones gathered from nearby fields. The building was dedicated on August 31, 1888.",,,Branch,Coldwater
Holy Cross Catholic Church,45.74519300000003,-85.52223800099995,,2014,"Holy Cross Catholic Church
Father Frederic Baraga (1797-1868) first landed on Beaver Island as a missionary in 1832. This church was built in 1860 and consecrated by Baraga, then Bishop of the Diocese of Sault Ste. Marie. This church originally stood inland alongside the parish cemetery one mile to the south. To better serve the island’s population center on Paradise Bay, Holy Cross Church was cut in half, moved and reassembled at this location in 1957.

Holy Cross Catholic Church
After the expulsion of the Mormons in 1856, many Irish families settled on the island. To serve this community, l…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/21/attachments/27,,Charlevoix,"St. James, Beaver Island"
Emerson,46.553548000000035,-85.03400799999997,,1980,"Emerson
Once a thriving hub of pine lumbering, Emerson is now a fishing hamlet. Just one mile south of the mouth of the Tahquamenon River (immortalized in Longfellow’s poem “Hiawatha”), this settlement overlooks picturesque Whitefish Bay. The village was founded by Kurt Emerson, a lumberman from the Saginaw Bay area, in the 1880s. Emerson erected a sawmill and in 1884 sold his establishment to the Chesbrough Lumber Company. Milling and lumbering operations ceased in 1912, at which time commercial fishing became the economic bulwark of the community.",,,Chippewa,Whitefish Township
First Baptist Church,42.823047592179044,-82.48893528261704,3,1991,"First Baptist Church
The Reverend E. K. Grout, pastor of the Baptist church in China Township, also held services in St. Clair’s log courthouse. On November 5, 1848, Grout and seven other people organized a local congregation. Around 1852 the first meeting house was built here on land donated by the village board of supervisors. That church burned in 1870. The present Romanesque-inspired church was erected three years later. In 1974 citizens bought the church and gave it to the city of St. Clair for a community center.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/24/attachments/2206,,St. Clair,St. Clair
White Lake Cemetery,42.69227100000006,-83.53273299999995,4,1987,"White Lake Cemetery
This cemetery was established by Robert Garner when his nine-month-old child, Mary, died in 1837.  White Lake Road, which runs past it, was once an Indian trail.  Garner, a pioneer of White Lake Township, was involved in the establishment of the First Presbyterian Church of White Lake and was the superintendent of a pioneer sabbath school in White Lake.  Buried in the cemetery are many of the pioneer families of the township, including the Garners, Seeleys and Voorheises.  Also buried here are twenty-eight Civil War veterans and just over forty veterans of succeeding wars.…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/25/attachments/30,,Oakland,White Lake Township
Hiram D. Ellis House,41.835075000000074,-83.87087999999994,,1992,"Hiram D. Ellis House
In 1883 Blissfield banker Hiram D. Ellis (1826-1900) built this house. The bracketed cornice, hip roof, and bay window reflect the influence of Italianate architecture; the classical porch probably was added in the early twentieth century. Ellis emigrated from New York and settled in Blissfield Township in 1842. From 1873 to 1877 he and F. G. Beagle operated a grocery and hardware store. Around 1879 Ellis joined Arthur D. Gilmore in a banking firm. He also served as postmaster and township supervisor.",,,Lenawee,Blissfield
Lakeville Cemetery,42.81401274000007,-83.15769015999996,1,2023,"Lakeville Cemetery
In 1843 Addison Township settler Ernest Mann donated one acre of land to the local community for use as a cemetery. The cemetery has since expanded to more than eleven acres. Among the first to be buried here was Private Derrick Hulick, a veteran of the American Revolution who enlisted in the New Jersey militia in June 1776. The Lakeville Cemetery Auxiliary was established in 1910 to maintain the cemetery and preserve its history.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/27/attachments/34,,Oakland,Leonard
Wattles House,42.57496200000003,-83.14801100099999,1,1978,"Wattles House
Harry Bennett Wattles purchased this house in 1876, about thirty years after its construction, and added a veranda and a second story in 1909. Settling in Troy around 1837, the Wattles family has been active in civic and social affairs. Here on this property, once known as Sunnycrest Dairy, Wattles began to use progressive farming methods. His registered Jersey cows won numerous prizes. This house, Wattles, and his descendants who have lived here, provide Troy with the legacy of a community-minded family.",,,Oakland,Troy
Omena Presbyterian Church,45.05709100000007,-85.58675699999998,,1974,"Omena Presbyterian Church
In 1839 the Reverend Peter Dougherty founded Old Mission, the first Protestant mission in the Grand Traverse area. The church, comprising Indians and whites, was organized in 1843. After 1850 the Indians were allowed to buy land; they and the church moved to Omena, or New Mission in 1852. This church, resembling those of New England was built and dedicated in 1858. Since the 1880s it is used mostly in summer. It remains relatively unchanged from the original.",,,Leelanau,Omena
Ogemaw Springs / Ogemaw Springs,44.30367300000006,-84.29009599999995,2,2012,"Ogemaw Springs
Ogemaw Springs is the oldest village in Ogemaw County. The spring that gives the town its name provided the sole supply of water for early settlers. It also supplied water for the boilers of the railroad steam engines that served the area’s lumber industry. In 1888 the local Board of Health sought to protect the springs with an ordinance against the placing of “any rubbish or unclean thing within the spring.”

Ogemaw Springs
The arrival in Ogemaw Springs of the Jackson, Lansing and Saginaw Railroad in 1872 opened up the region’s rich timber resources. By 1873 two hundred people…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/30/attachments/38,,Ogemaw,West Branch
Alice B. Cowles House / Alice B. Cowles House,42.73336000000006,-84.48449300099998,,1988,"Alice B. Cowles House
The Alice B. Cowles House, built in 1857, is the oldest building on the Michigan State University campus. Built as a “Farm Cottage” on Faculty Row from bricks made of clay from the banks of the Red Cedar River, it was originally the official residence of the president of Michigan Agricultural College. After 1874 it was used as faculty housing, as Department of Education offices, and as a residence for female students. In 1941 it again became the official home of the president. After World War II, it was remodeled using funds from the estate of alumnus Frederick Cowles Je…",,,Ingham,East Lansing
Michigan State Medical Society,42.32884000000007,-83.04481299999998,,1965,"Michigan State Medical Society
Formation of the Michigan State Medical Society took place here, June 5, 1866, in the Supreme Court Room of Odd Fellows Hall. About one hundred physicians from all areas in Michigan were present. The society adopted the code of ethics of the American Medical Association. The state society, a voluntary, professional organization, provides postgraduate training for physicians and strives to improve the public health by its public service and educational activities.",,,Wayne,Detroit
