name,latitude,longitude,subtype,year,date_reported,description,image_url,official_url,county,city
Forty Mile Point Light,45.486111,-83.913611,Lighthouse,1896,1896-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Line5711%20%289719586934%29.jpg,https://en.wikipedia.org/wiki/Forty_Mile_Point_Light,Presque Isle,
Sand Point Light,45.744444,-87.044444,Lighthouse,1867,1867-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Sand%20Point%20Lighthouse%20MI.jpg,https://en.wikipedia.org/wiki/Sand_Point_Light,Delta,
Old Mackinac Point Light,45.7875,-84.729444,Lighthouse,1892,1892-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Old%20Mackinac%20Point%20Lighthouse%202.jpg,https://en.wikipedia.org/wiki/Old_Mackinac_Point_Light,Cheboygan,
New Presque Isle Light,45.356528,-83.492333,Lighthouse,1870,1870-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/PresqueIsle%20LightStation%201.2k.jpg,https://en.wikipedia.org/wiki/New_Presque_Isle_Light,Presque Isle,
Whitefish Point Light,46.771111,-84.9575,Lighthouse,1974,1974,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Whitefish%20Point%20Light%20House.JPG,https://en.wikipedia.org/wiki/Whitefish_Point_Light,Chippewa,
Big Sable Point Light,44.057222,-86.515,Lighthouse,1867,1867-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Big%20Sable%20Lighthouse1.jpg,https://en.wikipedia.org/wiki/Big_Sable_Point_Light,Mason,
Old Presque Isle Light,45.341944,-83.478333,Lighthouse,1840,1840-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Old%20Presque%20Isle%20Light%20house.JPG,https://en.wikipedia.org/wiki/Old_Presque_Isle_Light,Presque Isle,
Pointe aux Barques Light,44.0233,-82.7933,Lighthouse,1848,1848-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Pointe%20aux%20Barques%20Lighthouse%20-%20Michigan.jpg,https://en.wikipedia.org/wiki/Pointe_aux_Barques_Light,Huron,
Tawas Point Light,44.253611,-83.449444,Lighthouse,1853,1853-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Tawaspoint3.jpg,https://en.wikipedia.org/wiki/Tawas_Point_Light,Iosco,
Stannard Rock Light,47.183611,-87.218056,Lighthouse,1883,1883-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Stannard%20Rock%20Light%20USCG.jpg,https://en.wikipedia.org/wiki/Stannard_Rock_Light,Marquette,
