name,latitude,longitude,subtype,year,date_reported,description,image_url,official_url,county,city
Mormon Print Shop,45.746111,-85.521111,Museum,2012,2012,"museum on Beaver Island, Michigan",http://commons.wikimedia.org/wiki/Special:FilePath/Mormon%20Print%20shop.JPG,https://en.wikipedia.org/wiki/Mormon_Print_Shop,Charlevoix,
Meadow Brook Hall,42.67194444,-83.20111111,Historic house,1979,1979,"110-room, 88,000-square-foot (8,200 m2) mansion, contains paintings by Rembrandt, Anthony van Dyck, Rosa Bonheur, Gilbert Stuart, Joshua Reynolds, John Constable and Thomas Gainsborough, and sculpture by Antoine-Louis Barye, Frederic Remington, Cyrus Edwin Dallin, and Herbert Haseltine",,https://en.wikipedia.org/wiki/Meadow_Brook_Hall,Oakland,Rochester Hills
Pine Grove Historical Museum,42.64783,-83.30482,Multiple,1961,1961,"former estate of Governor Moses Wisner, Pontiac, Michigan",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/97/attachments/117,https://en.wikipedia.org/wiki/Pine_Grove_Historical_Museum,Oakland,Pontiac
Curwood Castle,42.99944444,-84.17527778,Historic house,2022,2022,Home of novelist and conservationist James Oliver Curwood,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/155/attachments/181,https://en.wikipedia.org/wiki/Curwood_Castle,Shiawassee,Owosso
Drake Memorial House,43.408085,-84.474998,Historic house,2009,2009,"website, operated by the Breckenridge-Wheeler Area Historical Society",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/399/attachments/3320,https://en.wikipedia.org/wiki/Drake_Memorial_House?action=edit&redlink=1,Gratiot,Breckenridge
Wing House Museum,41.938889,-84.9975,GMU,2012,2012,"Historic House Museum in Coldwater, Michigan",http://commons.wikimedia.org/wiki/Special:FilePath/Lucius%20M.%20Wing%20House.jpg,https://en.wikipedia.org/wiki/Wing_House_Museum,Branch,Coldwater
First Congregational Living Museum,42.35527778,-83.06277778,Church,2012,2012,"Exhibits about church architecture and history, also houses Underground Railroad Living Museum, a storytelling experience",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/442/attachments/2711,"https://en.wikipedia.org/wiki/First_Congregational_Church_(Detroit,_Michigan)",Wayne,Detroit
City Opera House Heritage Association,44.76395,-85.623,HSC,2012,2012,Early 20th-century Victorian period house[33],https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/480/attachments/2464,HTTP://WWW.CITYOPERAHOUSE.ORG/,Grand Traverse,Essexville
Governor Charles Croswell House,41.89972222,-84.0325,Historic house,2012,2012,Mid 19th-century house,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/491/attachments/575,https://en.wikipedia.org/wiki/Governor_Charles_Croswell_House,Lenawee,Adrian
Holland Museum,42.7886,-86.1087,HSC,1997,1997,"history museum in Holland, Michigan",http://commons.wikimedia.org/wiki/Special:FilePath/Isaac%20Cappon%20House.JPG,https://en.wikipedia.org/wiki/Holland_Museum,Ottawa,Holland
Commandant'S Quarters,42.30649,-83.24328,GMU,2012,2012,"Commandant's Quarters
This building was one of eleven built in 1833 for the United States Detroit Arsenal at Dearbornville. A walled compound, a 360-foot square, was erected to store military supplies on the frontier. Constructed of red brick in the Federal style, this arsenal was located on strategic Chicago Road, now Michigan Avenue. The quarters were a center for social and cultural events in Dearborn until they were closed in 1875. The Commandant’s Quarters later became a fire station, police station, church, courthouse, school facility, library, and meeting hall. The Dearborn Historical…",,https://catalog.archives.gov/id/25341024,Wayne,
Russell A. Alger House Museum,42.386817,-82.897355,Museum,2012,2012,"Branch Museum of the Detroit Institute of Arts, 1936-1948",,https://catalog.archives.gov/id/25341018,Wayne,
Fort Mackinac,45.85222222,-84.61722222,Fort,2012,2012,"14 original buildings and military exhibits, costumed interpreters",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/650/attachments/760,https://en.wikipedia.org/wiki/Fort_Mackinac,Mackinac,Mackinac Island
Kimball House Historical Museum,42.32202,-85.17566,HSC,1986,1986,"website, operated by the Historical Society of Battle Creek, Victorian-era mansion, features room about Sojourner Truth",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/666/attachments/2872,HTTP://WWW.HERITAGEBATTLECREEK.ORG,Calhoun,Battle Creek
Blanchard House,42.98277778,-85.05777778,Historic house,2012,2012,"website, 1880s Italianate mansion, owned and operated by the Ionia County Historical Society, includes a museum of local Ionia history",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/711/attachments/823,https://en.wikipedia.org/wiki/John_C._Blanchard_House,Ionia,Ionia
Paulson House,46.40694444,-86.85027778,Historic house,2012,2012,1884 Swedish log house,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/765/attachments/2581,"https://en.wikipedia.org/wiki/Paulson_House_(AuTrain,_Michigan)",Alger,Au Train
Turner-Dodge House,42.75167,-84.55186,HSC,1980,1980,Mansion operated by the city,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/797/attachments/922,https://en.wikipedia.org/wiki/Turner-Dodge_House,Ingham,Lansing
Voigt House Victorian Museum,42.96052,-85.65686,GMU,1977,1977,"Victorian period house, operated by the Grand Rapids Public Museum",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/824/attachments/2828,https://en.wikipedia.org/wiki/Grand_Rapids_Public_Museum#Voigt_House_Victorian_Museum,Kent,Grand Rapids
Newton House Museum,42.01222222,-85.96805556,Historic house,2012,2012,Restored two-story Quaker home of the mid-1800s[46],,https://en.wikipedia.org/wiki/George_Newton_House,Cass,Dowagiac
Meyer May House,42.954189,-85.659189,Historic house,1987,1987,Restored 1909 house designed by Frank Lloyd Wright,,https://en.wikipedia.org/wiki/Meyer_May_House,Kent,Grand Rapids
Bailey Museum,42.39201,-86.26369,Historic house,2012,2012,"museum home in South Haven, Michigan",http://commons.wikimedia.org/wiki/Special:FilePath/Bailey%20Museum.jpg,https://en.wikipedia.org/wiki/Liberty_Hyde_Bailey_Birthplace,Van Buren,South Haven
Plymouth Historical Museum,42.37291,-83.46692,HSC,2016,2016,"website, growth of American industry, the advent of the railroad and the invention of the automobile",,HTTP://WWW.PLYMOUTHHISTORY.ORG,Wayne,Plymouth
Michigan State University Museum,42.7315,-84.4816,Multiple,1955,1955,museum on Michigan State University campus,http://commons.wikimedia.org/wiki/Special:FilePath/MSU%20Museum.jpg,https://en.wikipedia.org/wiki/MSU_Museum,Ingham,East Lansing
Honolulu House Museum,42.2724,-84.96422,HSC,2012,2012,"Operated by the Marshall Historical Society, 1880s-period house",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/983/attachments/1090,HTTP://MARSHALLHISTORICALSOCIETY.ORG/,Calhoun,Marshall
Clio Depot,43.177619,-83.7376,Local history,2012,2012,"former railway station and museum in Clio, Michigan",http://commons.wikimedia.org/wiki/Special:FilePath/Clio%20Depot%20Michigan%202019-2619.jpg,https://en.wikipedia.org/wiki/Clio_Depot,Genesee,Clio
Wayne State University Planetarium,42.35499,-83.06619,SCI,1958,1958,"website, part of Michigan State University, natural history, culture including Asia, Africa, and the Americas, and the Great Lakes Quilt Center",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/1024/attachments/2540,HTTP://PLANETARIUM.WAYNE.EDU/,Wayne,East Lansing
Scarab Club,42.35985,-83.062819,Art,2012,2012,"artists' club, gallery, and studio in Detroit, Michigan, U.S",http://commons.wikimedia.org/wiki/Special:FilePath/The%20Scarab%20Club.JPG,https://en.wikipedia.org/wiki/Scarab_Club,Wayne,Detroit
Hubbard Memorial Museum,42.17813,-84.64001,GMU,2012,2012,"Paddock-Hubbard House
In 1843 New York natives Alfred and Ruth Paddock migrated to Concord Township. Within two years they erected this Greek Revival house, reminiscent of those in their home state. A prominent merchant, Alfred Paddock (1805-1870) owned and operated one of Concord’s first flour mills. He served as township supervisor from 1844 to 1849 and in the Michigan State Senate from 1853 to 1854. In 1854 the Paddocks hosted Concord’s first meeting of the Universalist Society in this house.

Paddock-Hubbard House
In February 1897 Truman and Cora Hubbard rented this house from the Paddock…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/1075/attachments/1172,https://catalog.archives.gov/id/25339591,Jackson,
Governor's Mansion Museum,42.265,-84.95444444,Historic house,2012,2012,"Operated by the Mary Marshall Chapter D.A.R., mid-19th-century Greek Revival mansion built in anticipation that Marshall would become the State Capital of Michigan",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/1103/attachments/2355,"https://en.wikipedia.org/wiki/Governor's_Mansion_(Marshall,_Michigan)",Calhoun,Marshall
Henry A. Chapin House,41.829167,-86.253333,Museum,2012,2012,"Niles, Michigan",http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20A.%20Chapin%20House%2001.JPG,https://en.wikipedia.org/wiki/Henry_A._Chapin_House,Berrien,
Byron Area Historic Museum,42.811,-85.7256,HSC,1990,1990,"history museum in Byron Center, Michigan",http://commons.wikimedia.org/wiki/Special:FilePath/Town%20Hall%20in%20Byron%20Center%20MI%20-%20now%20a%20museum.JPG,https://en.wikipedia.org/wiki/Byron_Area_Historic_Museum,Kent,Byron Center
Kempf House Museum,42.278889,-83.744444,HSC,1988,1988,"house museum in Ann Arbor, Michigan, USA",http://commons.wikimedia.org/wiki/Special:FilePath/HenryBennettHouseAnnArborMI.JPG,https://en.wikipedia.org/wiki/Kempf_House_Museum,Washtenaw,Ann Arbor
Marshall Historical Society,42.2724,-84.96422,HSC,1972,1972,"Part of Saginaw Valley State University, displays plaster models of Marshall Fredericks bronze sculptures, also changing art exhibits",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/1209/attachments/1311,HTTP://WWW.MARSHALLHISTORICALSOCIETY.ORG,Calhoun,University Center
Paine-Gillam-Scott Museum,43.000928,-84.5585098,Local history,1998,1998,"website, also known as the Clinton County Historical Society Museum",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/1229/attachments/1334,https://en.wikipedia.org/wiki/Paine-Gillam-Scott_Museum?action=edit&redlink=1,Clinton,St. Johns
Ford Piquette Avenue Plant,42.3692,-83.0656,Automotive,2022,2022,Birthplace of the Ford Model T and the world's oldest car factory building open to the public (built 1904),https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/1237/attachments/3003,https://en.wikipedia.org/wiki/Ford_Piquette_Avenue_Plant,Wayne,Detroit
Courthouse Square Museum,42.564444,-84.836667,HSC,2012,2012,"museum and former courthouse in Charlotte, Michigan, USA",http://commons.wikimedia.org/wiki/Special:FilePath/County%20Courthouse%20Museum%20Charlotte.jpg,https://en.wikipedia.org/wiki/Courthouse_Square_Museum,Eaton,Charlotte
Capitol Hill School,42.26444444,-84.95194444,School,2012,2012,"website, operated by the Marshall Historical Society, 19th-century schoolhouse, toy displays, open by appointment",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/1349/attachments/1448,https://en.wikipedia.org/wiki/Capitol_Hill_School,Calhoun,Marshall
Robert J. Whaley House,43.02,-83.684,Museum,2012,2012,"historic house museum in Flint, Michigan",http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Whaley%20House%20Flint.jpg,https://en.wikipedia.org/wiki/Whaley_Historic_House_Museum,Genesee,
Historical Society Of Battle Creek,42.31913,-85.1825,HSC,1959,1959,"website, hosts 10-12 varied shows each year, including annual Michigan Artist Competition exhibition",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/1409/attachments/1499,https://en.wikipedia.org/wiki/Art_Center_of_Battle_Creek?action=edit&redlink=1,Calhoun,Battle Creek
