name,latitude,longitude,subtype,year,description,image_url,official_url,county,city
Botsford Inn,42.444076235000125,-83.32302740499996,building,2012,"Botsford Inn
This historic structure was built as a home in 1836 by Orrin Weston and converted into a tavern by Stephen Jennings in 1841. Milton Botsford bought what was by then called the Sixteen Mile House in 1860. It was a stagecoach stop popular with drovers, farmers and travelers on the Grand River plank road. Henry Ford, who in the 1880s attended dances at the inn with his future wife, Clara, bought it in 1924. He renovated the inn to reflect the Victorian era. He first used it as a private retreat. Later he opened it to the public. The Anhut family bought the property in 1951, operatin…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/13/attachments/2387,https://catalog.archives.gov/id/25340252,Oakland,Farmington
"Learned, Charles G., House",44.04233834000013,-82.99370720499996,building,2012,"Charles G. Learned
<div>A native of New York, contractor Charles G. Learned helped build New York City’s waterworks system and the Erie Canal. Around 1857, Learned and his brother-in-law purchased several thousand acres of pine land in Michigan’s Thumb area. Two years later, Learned and his wife, Maria Raymond, came to Port Austin and bought a house and three acres at this site. Learned’s cutover pine land became a 2,000-acre farm where he prospered as an agriculturalist and dairy farmer. With profits from his lumbering and farming enterprises Learned enlarged and updated this house in the Fr…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/14/attachments/19,https://catalog.archives.gov/id/25339451,Huron,Port Austin
"Van Wagoner, Murray D., Memorial Bridge",41.712367019000055,-84.21170168899992,structure,2012,"Taft Memorial Highway
In 1930 organizers from Michigan, Ohio, Kentucky, Tennessee, Georgia, and Florida formed the Taft Memorial Highway Association to promote automobile tourism.  Named after the nation’s twenty-seventh president, William Howard Taft, the highway stretched from Sault Ste. Marie, Michigan, to Fort Myers Beach, Florida.  Inspired by hundreds of similar associations across the country, founding members lobbied officials for modern roads and bridges along their selected route.  Morenci organizers participated actively in the association.  Although the association ceased operatio…",,https://catalog.archives.gov/id/25338283,Lenawee,Morenci
"Swayze, E. S., Drugstore/Otisville Mason Lodge No. 401",43.16659317100009,-83.52406817199989,building,2012,"E. S. Swayze Drugstore
E. S. Swayze opened a drugstore on this site prior to 1870.  When the store burned in 1874, Swayze built this one.  Members of the Free Methodist Church used the second-floor meeting hall for services from 1887 to 1890.  In 1903 Masonic Lodge #401 and the Order of the Eastern Star bought the building, which they owned until 1970.  This intact commercial building is listed in the National Register of Historic Places.",,https://catalog.archives.gov/id/25337856,Genesee,Otisville
Adrian Engine House No. 1,41.8972632550001,-84.03600228499994,building,2012,"Adrian Engine House No. 1
In 1855, local architect and builder O.P. Smith designed and constructed Engine House No. 1. An 1867 renovation increased the hose-drying tower’s height from twenty to seventy feet, making it a town landmark. Italianate elements are included in the Romanesque Revival building. When the Fire Department stopped using the engine house in 1987, it was Michigan’s oldest fire hall in continuous use. It was listed in the National Register of Historic Places in 1989.

Adrian Fire Department
Adrian founded its fire department in 1841. By 1851, it had 102 male volunteers, who…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/36/attachments/44,https://catalog.archives.gov/id/25339898,Lenawee,Adrian
Livingston County Courthouse,42.60724102000005,-83.92811375199989,building,2012,"County Courthouse
Albert E. French designed this two-and-a-half-story brick and stone building. This edifice, completed in 1890, shows influence of Richardsonian architecture and has maintained many of its original Victorian furnishings. Peter and Marie Cowdry donated the land for the courthouse square with the provision that it revert to their heirs if no longer used for a courthouse. Local citizens presented the clock to the county as a gift. The people of Livingston County voted in 1976 to restore their courthouse, which is an area landmark.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/38/attachments/49,https://catalog.archives.gov/id/25339939,Livingston,Howell
Mormon Print Shop,45.746242548000176,-85.52106102499988,building,2012,"Mormon Print Shop
This building was erected in 1850, by James Strang and his followers. Here, during the 1850s, these Mormon dissenters published religious works and two newspapers, the Northern Islander and the Daily Northern Islander. Strang’s group had settled on Beaver Island in 1846 after breaking away from the Mormons led by Brigham Young. In 1850 Strang was declared “king” of his community, which made up the majority of the population on the island. In 1856 Strang was fatally shot by two disenchanted followers. In the wake of the assassination, an angry mob from the mainland stormed Be…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/48/attachments/2308,https://catalog.archives.gov/id/25339116,Charlevoix,St. James
Saint Joseph Church and Shrine,42.05683604200015,-84.16416640799997,district,2012,"St. Joseph's Church
St. Joseph’s Church originated as a missionary church during the 1850s. Priests from Adrian, Clinton, Manchester, Tecumseh, and Monroe served the parish until the first resident priest arrived in 1854. The original church, which is still part of the present structure, was constructed in 1854 by Irish pioneers. In 1863 the first Mass was held in the church.  The tower and stained glass windows were added in 1911. In 1928 Father Joseph Pfeffer from St. Mary’s in Manchester served here and oversaw the enlargement and remodeling of the church to its present form. The transept…",,https://catalog.archives.gov/id/25339876,Lenawee,Cambridge Township
Lenawee County Courthouse,41.90210169499999,-84.03505503899999,building,2012,"County Courthouse
Lenawee County was first settled in 1824 at Tecumseh, which the territorial legislature subsequently made the county seat. Pioneers, mostly from upper New York State, then established Blissfield and Adrian, the latter called Logan. The largest Indian tribe in the area was the Potawatomi. In 1838 the first state legislature moved the Lenawee seat of justice from Tecumseh to Adrian. The first courthouse in Adrian was built in 1837 but burned in 1852. Immediately purchasing this site, formerly the western terminus of the Erie and Kalamazoo Railroad, the county erected a tempora…",,https://catalog.archives.gov/id/25339868,Lenawee,Adrian
Lakeside Inn,41.843208407000084,-86.67878850799997,building,2012,"Lakeside Inn
Known as Ames Grove, this property served as a picnic ground and recreation area beginning in the 1880s. John Aylesworth purchased the property in 1901 and opened the Lakeside Inn in this building as early as 1915. The hotel once had its own zoo and extensive gardens. During the 1930s and 1940s Chicago orchestras played at the inn. The Lakeside Center for the Arts occupied the premises from 1968 to 1994 and hosted artists from around the world. In 1995 the inn was restored to its 1920s appearance.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/95/attachments/115,https://catalog.archives.gov/id/25338942,Berrien,Lakeside
"McColl, James, House",43.12681759000004,-82.79859309599995,building,2012,"James McColl House
This Queen Anne-style structure was erected in 1899 by Scottish-born James Livingston. He gave the house to his daughter, Louise Livingston McColl. During the late nineteenth century Livingston and his son-in-law, James McColl, produced linseed oil and twine in their flax mills in Michigan and Canada. At the time this house was built, McColl was also village president. The elaborate wood-frame home remained in the McColl family until 1980.",,https://catalog.archives.gov/id/25340501,St. Clair,Yale
Sashabaw Presbyterian Church,42.719282083000145,-83.36210102099994,building,2012,"Sashabaw United Presbyterian Church
This church structure, one of the oldest in the Detroit Presbytery, was erected by a church building society which was organized on January 20, 1855. A fine example of the classic New England church, it was built and furnished for three thousand dollars. It was dedicated in June 1856 as the house of worship for the First Presbyterian Church of Independence. The congregation had been organized in 1840 under the Plan of Union as the Church of Orion and Independence. Because of a small membership, the church in 1932 was dissolved. When Sashabaw United Presbyte…",,https://catalog.archives.gov/id/25340286,Oakland,Clarkston
Gugel Bridge,43.32903149700008,-83.776361604,structure,2012,"Gugel Bridge
Built in 1904, this 204-foot-long bridge carried the Detroit and Saginaw Turnpike over the Cass River in Bridgeport Township.  By around 1919 the pike, which had become the well-traveled Dixie Highway, required a more substantial crossing, and the bridge was replaced and relocated to this site.  The bridge closed in 1979.  William “Tiny” Zehnder had the structure restored as a pedestrian bridge in 2004.  The Gugel Bridge is listed in the National Historic Register of Historic Places.

Gugel Bridge
The Joliet Bridge and Iron Company built at least 25 bridges in Michigan, several o…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/108/attachments/136,https://catalog.archives.gov/id/25340434,Saginaw,Frankenmuth Township
Bellevue Mill,42.445871100000026,-85.01610931199991,building,2012,"Bellevue Gothic Mill
Horatio Hall built this mill for Manlius Mann in 1854. Powered by water from the Battle Creek, a three-ton overshot waterwheel in the basement turned three pairs of millstones that ground grain from local farmers into flour. Before vertical grain elevators came into use, a rope hoist in the western roof peak lifted grain to the appropriate level. It was manually pulled through the corresponding vertical door to be processed. Grain products produced here included corn meal, bran, white, whole wheat and biscuit flour. In 1873 Mann sold the mill to Hiram Ovenshire and Daniel…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/124/attachments/153,https://catalog.archives.gov/id/25339254,Eaton,Bellevue
