name,latitude,longitude,subtype,year,date_reported,description,image_url,official_url,county,city
Pontiac Lake State Recreation Area,42.67350621475373,-83.44158456601151,State Park or Recreation Area,,,,,https://www.michigan.gov/recsearch/parks/PontiacLake,Oakland,Waterford
Sterling State Park,41.93058608922822,-83.34466046851315,State Park or Recreation Area,,,"William C. Sterling State Park is a public recreation area located in Frenchtown Charter Township with a small portion lying within the city limits of Monroe, Michigan. It is the only Michigan state park located on Lake Erie. The park encompasses 1,300 acres (530 ha) of mostly man-made lagoons and beachfront near the mouth of Sandy Creek. The main attractions at the park include a 256-site campground, beach area, boat launch, and shore fishing lagoons. There are over seven miles (11 km) of biking and hiking trails within the park.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Sterling_State_Park_Michigan_pedestrian_bridge_over_lagoon.JPG/330px-Sterling_State_Park_Michigan_pedestrian_bridge_over_lagoon.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.michigan.gov/recsearch/parks/Sterling,Monroe,Monroe
Bay City State Park,43.6672273619685,-83.90589680634754,State Park or Recreation Area,,,"Bay City State Park is a 2,389-acre (967 ha) state park located on the shore of Saginaw Bay near Bay City in Bay County, Michigan, United States. The Tobico Marsh, one of the largest remaining freshwater, coastal wetlands on the Great Lakes is located in the park. The park is a haven for migratory birds and wetland wildlife. Other natural features of the park include a mile of sandy beach, over 2,000 acres (810 ha) of wetland woods, meadows, oak savannah prairies, and cattail marshes.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Bay_City_State_Park_beach.jpg/330px-Bay_City_State_Park_beach.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.michigan.gov/recsearch/parks/BayCity,Bay,Bay City
Island Lake State Recreation Area,42.51281517473299,-83.68974262706371,State Park or Recreation Area,,,"Island Lake State Recreation Area is a state-run park in Green Oak Township, Livingston County, within the Metro Detroit area in Michigan. The 4,000-acre (1,600 ha) park lies on the Huron River and Kent Lake, an impoundment of the river, immediately downstream of Kensington Metropark with which it is connected by a bike trail. It is the third busiest park operated by the Michigan Department of Natural Resources with visitation of 1.09 million in 2008. The park lies near the intersection of I-96 and US-23. It has a group campsite and a canoe-in campsite, several miles of hiking and biking trai…",,https://www.michigan.gov/recsearch/parks/IslandLake,Livingston,Brighton
Brighton State Recreation Area,42.50631437104591,-83.85929635073353,State Park or Recreation Area,,,,,https://www.michigan.gov/recsearch/parks/Brighton,Livingston,Howell
Meridian-Baseline State Park,42.424947439905715,-84.36525092014628,State Park or Recreation Area,,,"Meridian-Baseline State Park is a historic preservation area covering 108 acres (44 ha) in Ingham County and Jackson County, Michigan, containing the intersection of the Michigan meridian and the baseline used for the Michigan Survey. The state park has two monuments that show where the two mismatched baselines meet the principal meridian at the North Initial Point and South Initial Point.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Meridian_Baseline_State_Park.jpg/330px-Meridian_Baseline_State_Park.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.michigan.gov/recsearch/parks/Meridian,Ingham,
Hayes State Park,42.06341607242602,-84.14081472255023,State Park or Recreation Area,,,"Walter J. Hayes State Park is a public recreation area covering 654 acres (265 ha) on the southeast corner of Wamplers Lake in the Irish Hills region of the state of Michigan. Most of the state park lies within Lenawee County with a small portion extending into Jackson and Washtenaw counties in the Round Lake area. The park offers access to 796-acre (322 ha) Wamplers Lake and completely surrounds 100-acre (40 ha) Round Lake, which connects to Wamplers Lake via a channel navigable by smaller boats. Other scenic lakes including Evans Lake and Sand Lake as well as chains of smaller lakes lie nea…",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Hayes_State_Park_%28June_2019%29.jpg/330px-Hayes_State_Park_%28June_2019%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.michigan.gov/recsearch/parks/Hayes,Lenawee,Onsted
Lake Hudson State Recreation Area,41.83597202669089,-84.23577573091524,State Park or Recreation Area,,,"Lake Hudson State Recreation Area is a public recreation area located within southwestern Lenawee County in the U.S. state of Michigan. With its main entrance located along M-156, it is mostly located within Hudson Township and a very small portion extending south into neighboring Medina Township.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Lake_Hudson_State_Recreation_Area_%28Bear_Creek_Dam%29.jpg/330px-Lake_Hudson_State_Recreation_Area_%28Bear_Creek_Dam%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.michigan.gov/recsearch/parks/LakeHudson,Lenawee,Clayton
Coldwater Lake State Park,41.79893498287837,-84.96826594853458,State Park or Recreation Area,,,"Coldwater Lake State Park is an undeveloped public recreation area occupying 400 acres (160 ha) on the south shore of Coldwater Lake, ten miles (16 km) south of the city of Coldwater in Branch County, Michigan. Money from the Natural Resources Trust Funds was used to create the state park in 1988. Two small, unpaved parking areas offer walk-in access for hunters and fishermen. A general management plan for the park was adopted by the Michigan State Parks Advisory Committee in 2015.",,https://www.michigan.gov/recsearch/parks/Coldwater,Branch,Coldwater
Grand Mere State Park,42.00348193493112,-86.5422084397643,State Park or Recreation Area,,,"Grand Mere State Park is a public recreation and nature preservation area in the southwestern part of the U.S. state of Michigan near Stevensville. The state park is located adjacent to Interstate 94. Protected from Lake Michigan by the dunes to the west, the park has many natural features not found throughout the rest of the state. In 1968 it was designated a National Natural Landmark.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Grand_Mere_Beach.jpg/330px-Grand_Mere_Beach.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.michigan.gov/recsearch/parks/GrandMere,Berrien,Stevensville
